n,changeprop_mean,changeprop_sd,repetition,proportion_before,proportion_estimates_below_zero,count_estimates_below_zero
10,0.05,0.1,1,0.5,0.066,132
10,0.05,0.1,2,0.5,0.496,992
10,0.05,0.1,3,0.5,0.24,480
10,0.05,0.1,4,0.5,0.072,144
10,0.05,0.1,5,0.5,0.124,248
10,0.05,0.1,6,0.5,0.012,24
10,0.05,0.1,7,0.5,0.019,38
10,0.05,0.1,8,0.5,0.481,962
10,0.05,0.1,9,0.5,0.1665,333
10,0.05,0.1,10,0.5,0.472,944
10,0.05,0.1,1,0.6,0.034,68
10,0.05,0.1,2,0.6,0.133,266
10,0.05,0.1,3,0.6,0.169,338
10,0.05,0.1,4,0.6,0.586,1172
10,0.05,0.1,5,0.6,0.2475,495
10,0.05,0.1,6,0.6,0.1685,337
10,0.05,0.1,7,0.6,0.382,764
10,0.05,0.1,8,0.6,0.1605,321
10,0.05,0.1,9,0.6,0.035,70
10,0.05,0.1,10,0.6,0.3145,629
10,0.05,0.1,1,0.7,0.1045,209
10,0.05,0.1,2,0.7,0.333,666
10,0.05,0.1,3,0.7,0.0845,169
10,0.05,0.1,4,0.7,0.369,738
10,0.05,0.1,5,0.7,0.2215,443
10,0.05,0.1,6,0.7,0.452,904
10,0.05,0.1,7,0.7,0.031,62
10,0.05,0.1,8,0.7,0.3075,615
10,0.05,0.1,9,0.7,0.297,594
10,0.05,0.1,10,0.7,0.6455,1291
10,0.025,0.1,1,0.5,0.0565,113
10,0.025,0.1,2,0.5,0.0465,93
10,0.025,0.1,3,0.5,0.6565,1313
10,0.025,0.1,4,0.5,0.734,1468
10,0.025,0.1,5,0.5,0.056,112
10,0.025,0.1,6,0.5,0.1145,229
10,0.025,0.1,7,0.5,0.0075,15
10,0.025,0.1,8,0.5,0.6285,1257
10,0.025,0.1,9,0.5,0.305,610
10,0.025,0.1,10,0.5,0.0885,177
10,0.025,0.1,1,0.6,0.2705,541
10,0.025,0.1,2,0.6,0.7255,1451
10,0.025,0.1,3,0.6,0.117,234
10,0.025,0.1,4,0.6,0.369,738
10,0.025,0.1,5,0.6,0.6795,1359
10,0.025,0.1,6,0.6,0.6205,1241
10,0.025,0.1,7,0.6,0.3165,633
10,0.025,0.1,8,0.6,0.2395,479
10,0.025,0.1,9,0.6,0.2545,509
10,0.025,0.1,10,0.6,0.434,868
10,0.025,0.1,1,0.7,0.4345,869
10,0.025,0.1,2,0.7,0.0305,61
10,0.025,0.1,3,0.7,0.103,206
10,0.025,0.1,4,0.7,0.718,1436
10,0.025,0.1,5,0.7,0.3455,691
10,0.025,0.1,6,0.7,0.614,1228
10,0.025,0.1,7,0.7,0.1115,223
10,0.025,0.1,8,0.7,0.698,1396
10,0.025,0.1,9,0.7,0.2595,519
10,0.025,0.1,10,0.7,0.3145,629
20,0.4,0.1,1,0.5,0,0
20,0.4,0.1,2,0.5,0.0015,3
20,0.4,0.1,3,0.5,0.002,4
20,0.4,0.1,4,0.5,0.003,6
20,0.4,0.1,5,0.5,0,0
20,0.4,0.1,6,0.5,0.002,4
20,0.4,0.1,7,0.5,0.0035,7
20,0.4,0.1,8,0.5,5E-04,1
20,0.4,0.1,9,0.5,5E-04,1
20,0.4,0.1,10,0.5,0.001,2
20,0.4,0.1,1,0.6,0.006,12
20,0.4,0.1,2,0.6,0.004,8
20,0.4,0.1,3,0.6,0.0145,29
20,0.4,0.1,4,0.6,0.0255,51
20,0.4,0.1,5,0.6,0.019,38
20,0.4,0.1,6,0.6,0.0055,11
20,0.4,0.1,7,0.6,0.0095,19
20,0.4,0.1,8,0.6,0.0405,81
20,0.4,0.1,9,0.6,0.0035,7
20,0.4,0.1,10,0.6,0.025,50
20,0.4,0.1,1,0.7,0.062,124
20,0.4,0.1,2,0.7,0.009,18
20,0.4,0.1,3,0.7,0.0195,39
20,0.4,0.1,4,0.7,0.052,104
20,0.4,0.1,5,0.7,0.0605,121
20,0.4,0.1,6,0.7,0.0515,103
20,0.4,0.1,7,0.7,0.0845,169
20,0.4,0.1,8,0.7,0.057,114
20,0.4,0.1,9,0.7,0.0495,99
20,0.4,0.1,10,0.7,0.1155,231
20,0.3,0.1,1,0.5,0,0
20,0.3,0.1,2,0.5,0.0015,3
20,0.3,0.1,3,0.5,0,0
20,0.3,0.1,4,0.5,0,0
20,0.3,0.1,5,0.5,0,0
20,0.3,0.1,6,0.5,0,0
20,0.3,0.1,7,0.5,0,0
20,0.3,0.1,8,0.5,0.002,4
20,0.3,0.1,9,0.5,0,0
