n,changeprob_mean,repetition,proportion_inside,proportion_estimates_below_zero,count_estimates_below_zero
30,0.05,4,0.7,0.2855,571
30,0.05,5,0.7,0.951,1902
30,0.05,6,0.7,0.3675,735
30,0.05,7,0.7,0.7395,1479
30,0.05,8,0.7,0.254,508
30,0.05,9,0.7,0.247,494
30,0.05,10,0.7,0.741,1482
30,0.025,1,0.5,0.306,612
30,0.025,2,0.5,0.9915,1983
30,0.025,3,0.5,0.5705,1141
30,0.025,4,0.5,0.114,228
30,0.025,5,0.5,0.312,624
30,0.025,6,0.5,0.211,422
30,0.025,7,0.5,0.7445,1489
30,0.025,8,0.5,0.614,1228
30,0.025,9,0.5,0.0445,89
30,0.025,10,0.5,0.5015,1003
30,0.025,1,0.6,0.5705,1141
30,0.025,2,0.6,0.0345,69
30,0.025,3,0.6,0.2055,411
30,0.025,4,0.6,0.3805,761
30,0.025,5,0.6,0.1955,391
30,0.025,6,0.6,0.8135,1627
30,0.025,7,0.6,0.241,482
30,0.025,8,0.6,0.5585,1117
30,0.025,9,0.6,0.2315,463
30,0.025,10,0.6,0.188,376
30,0.025,1,0.7,0.3885,777
30,0.025,2,0.7,0.3645,729
30,0.025,3,0.7,0.197,394
30,0.025,4,0.7,0.834,1668
30,0.025,5,0.7,0.2565,513
30,0.025,6,0.7,0.1105,221
30,0.025,7,0.7,0.486,972
30,0.025,8,0.7,0.6325,1265
30,0.025,9,0.7,0.4745,949
30,0.025,10,0.7,0.4,800
30,0,1,0.5,0.266,532
30,0,2,0.5,0.517,1034
30,0,3,0.5,0.518,1036
30,0,4,0.5,0.6125,1225
30,0,5,0.5,0.5065,1013
30,0,6,0.5,0.857,1714
30,0,7,0.5,0.125,250
30,0,8,0.5,0.602,1204
30,0,9,0.5,0.7065,1413
30,0,10,0.5,0.2815,563
30,0,1,0.6,0.297,594
30,0,2,0.6,0.604,1208
30,0,3,0.6,0.873,1746
30,0,4,0.6,0.1285,257
30,0,5,0.6,0.573,1146
30,0,6,0.6,0.113,226
30,0,7,0.6,0.383,766
30,0,8,0.6,0.4605,921
30,0,9,0.6,0.109,218
30,0,10,0.6,0.2795,559
30,0,1,0.7,0.364,728
30,0,2,0.7,0.0615,123
30,0,3,0.7,0.2595,519
30,0,4,0.7,0.382,764
30,0,5,0.7,0.7275,1455
30,0,6,0.7,0.76,1520
30,0,7,0.7,0.516,1032
30,0,8,0.7,0.897,1794
30,0,9,0.7,0.097,194
30,0,10,0.7,0.6375,1275
40,0.3,1,0.5,0.046,92
40,0.3,2,0.5,5E-04,1
40,0.3,3,0.5,0.31,620
40,0.3,4,0.5,0.0075,15
40,0.3,5,0.5,0.06,120
40,0.3,6,0.5,0.7155,1431
40,0.3,7,0.5,0.0625,125
40,0.3,8,0.5,0.047,94
40,0.3,9,0.5,0.0035,7
40,0.3,10,0.5,0.048,96
40,0.3,1,0.6,0.1425,285
40,0.3,2,0.6,0.485,970
40,0.3,3,0.6,0,0
40,0.3,4,0.6,0.0335,67
40,0.3,5,0.6,0.2685,537
40,0.3,6,0.6,0.3665,733
40,0.3,7,0.6,0.0025,5
40,0.3,8,0.6,0.0225,45
40,0.3,9,0.6,0.109,218
40,0.3,10,0.6,0.0175,35
40,0.3,1,0.7,0.091,182
40,0.3,2,0.7,0.079,158
40,0.3,3,0.7,0.006,12
40,0.3,4,0.7,0.1665,333
40,0.3,5,0.7,0.027,54
40,0.3,6,0.7,0.0295,59
40,0.3,7,0.7,0.03,60
40,0.3,8,0.7,0.004,8
40,0.3,9,0.7,0.025,50
40,0.3,10,0.7,0.0395,79
40,0.2,1,0.5,0.023,46
40,0.2,2,0.5,0.7235,1447
40,0.2,3,0.5,0.343,686
40,0.2,4,0.5,0.1895,379
40,0.2,5,0.5,0.502,1004
40,0.2,6,0.5,0.723,1446
40,0.2,7,0.5,0.91,1820
40,0.2,8,0.5,0.449,898
40,0.2,9,0.5,0.1625,325
40,0.2,10,0.5,0.0435,87
40,0.2,1,0.6,0.1415,283
40,0.2,2,0.6,0.196,392
40,0.2,3,0.6,0.245,490
40,0.2,4,0.6,0.0175,35
40,0.2,5,0.6,0.108,216
40,0.2,6,0.6,0.1365,273
40,0.2,7,0.6,0.268,536
40,0.2,8,0.6,0.295,590
40,0.2,9,0.6,0.5135,1027
40,0.2,10,0.6,0.072,144
40,0.2,1,0.7,0.2125,425
40,0.2,2,0.7,0.1005,201
40,0.2,3,0.7,0.3865,773
40,0.2,4,0.7,0.023,46
40,0.2,5,0.7,0.2365,473
40,0.2,6,0.7,0.118,236
40,0.2,7,0.7,0.1505,301
40,0.2,8,0.7,0.051,102
40,0.2,9,0.7,0.1805,361
40,0.2,10,0.7,0.0835,167
40,0.1,1,0.5,0.124,248
40,0.1,2,0.5,0.0605,121
40,0.1,3,0.5,0.0265,53
40,0.1,4,0.5,0.2595,519
40,0.1,5,0.5,0.0885,177
40,0.1,6,0.5,0.035,70
40,0.1,7,0.5,0.154,308
40,0.1,8,0.5,0.2885,577
40,0.1,9,0.5,0.199,398
40,0.1,10,0.5,0.3125,625
40,0.1,1,0.6,0.2675,535
40,0.1,2,0.6,0.402,804
40,0.1,3,0.6,0.219,438
40,0.1,4,0.6,0.5815,1163
40,0.1,5,0.6,0.7065,1413
40,0.1,6,0.6,0.141,282
40,0.1,7,0.6,0.1655,331
40,0.1,8,0.6,0.499,998
40,0.1,9,0.6,0.622,1244
40,0.1,10,0.6,0.03,60
40,0.1,1,0.7,0.04,80
40,0.1,2,0.7,0.048,96
40,0.1,3,0.7,0.583,1166
40,0.1,4,0.7,0.3575,715
40,0.1,5,0.7,0.631,1262
40,0.1,6,0.7,0.286,572
40,0.1,7,0.7,0.38,760
40,0.1,8,0.7,0.543,1086
40,0.1,9,0.7,0.2235,447
40,0.1,10,0.7,0.2785,557
40,0.05,1,0.5,0.168,336
40,0.05,2,0.5,0.2085,417
40,0.05,3,0.5,0.884,1768
40,0.05,4,0.5,0.712,1424
40,0.05,5,0.5,0.0145,29
40,0.05,6,0.5,0.1385,277
40,0.05,7,0.5,0.812,1624
40,0.05,8,0.5,0.0915,183
40,0.05,9,0.5,0.155,310
40,0.05,10,0.5,0.7075,1415
