n,changeprob_mean,repetition,proportion_inside,proportion_estimates_below_zero,count_estimates_below_zero
10,0.05,10,0.6,0.168,336
10,0.05,1,0.7,0.697,1394
10,0.05,2,0.7,0.706,1412
10,0.05,3,0.7,0.4765,953
10,0.05,4,0.7,0.6735,1347
10,0.05,5,0.7,0.688,1376
10,0.05,6,0.7,0.6975,1395
10,0.05,7,0.7,0.836,1672
10,0.05,8,0.7,0.1845,369
10,0.05,9,0.7,0.475,950
10,0.05,10,0.7,0.159,318
10,0.05,1,0.8,0.294,588
10,0.05,2,0.8,0.5225,1045
10,0.05,3,0.8,0.9235,1847
10,0.05,4,0.8,0.8275,1655
10,0.05,5,0.8,0.678,1356
10,0.05,6,0.8,0.69,1380
10,0.05,7,0.8,0.5025,1005
10,0.05,8,0.8,0.1725,345
10,0.05,9,0.8,0.483,966
10,0.05,10,0.8,0.3175,635
10,0.025,1,0.6,0.498,996
10,0.025,2,0.6,0.6805,1361
10,0.025,3,0.6,0.524,1048
10,0.025,4,0.6,0.159,318
10,0.025,5,0.6,0.4855,971
10,0.025,6,0.6,0.6945,1389
10,0.025,7,0.6,0.313,626
10,0.025,8,0.6,0.3175,635
10,0.025,9,0.6,0.819,1638
10,0.025,10,0.6,0.5105,1021
10,0.025,1,0.7,0.298,596
10,0.025,2,0.7,0.5065,1013
10,0.025,3,0.7,0.298,596
10,0.025,4,0.7,0.673,1346
10,0.025,5,0.7,0.302,604
10,0.025,6,0.7,0.4885,977
10,0.025,7,0.7,0.498,996
10,0.025,8,0.7,0.7025,1405
10,0.025,9,0.7,0.8055,1611
10,0.025,10,0.7,0.6965,1393
10,0.025,1,0.8,0.845,1690
10,0.025,2,0.8,0.4905,981
10,0.025,3,0.8,0.308,616
10,0.025,4,0.8,0.938,1876
10,0.025,5,0.8,0.493,986
10,0.025,6,0.8,0.308,616
10,0.025,7,0.8,0.5025,1005
10,0.025,8,0.8,0.6805,1361
10,0.025,9,0.8,0.167,334
10,0.025,10,0.8,0.5,1000
10,0,1,0.6,0.5105,1021
10,0,2,0.6,0.6685,1337
10,0,3,0.6,0.6975,1395
10,0,4,0.6,0.536,1072
10,0,5,0.6,0.4945,989
10,0,6,0.6,0.335,670
10,0,7,0.6,0.6885,1377
10,0,8,0.6,0.506,1012
10,0,9,0.6,0.518,1036
10,0,10,0.6,0.1425,285
10,0,1,0.7,0.081,162
10,0,2,0.7,0.8275,1655
10,0,3,0.7,0.4975,995
10,0,4,0.7,0.844,1688
10,0,5,0.7,0.5,1000
10,0,6,0.7,0.9325,1865
10,0,7,0.7,0.335,670
10,0,8,0.7,0.7055,1411
10,0,9,0.7,0.4875,975
10,0,10,0.7,0.152,304
10,0,1,0.8,0.6915,1383
10,0,2,0.8,0.843,1686
10,0,3,0.8,0.93,1860
10,0,4,0.8,0.5245,1049
10,0,5,0.8,0.689,1378
10,0,6,0.8,0.827,1654
10,0,7,0.8,0.707,1414
10,0,8,0.8,0.309,618
10,0,9,0.8,0.486,972
10,0,10,0.8,0.8325,1665
20,0.3,1,0.6,0.648,1296
20,0.3,2,0.6,0.7785,1557
20,0.3,3,0.6,0.764,1528
20,0.3,4,0.6,0.499,998
20,0.3,5,0.6,0.998,1996
20,0.3,6,0.6,0.803,1606
20,0.3,7,0.6,0.8195,1639
20,0.3,8,0.6,0.8735,1747
20,0.3,9,0.6,0.9945,1989
20,0.3,10,0.6,0.496,992
20,0.3,1,0.7,0.796,1592
20,0.3,2,0.7,0.8705,1741
20,0.3,3,0.7,0.977,1954
20,0.3,4,0.7,0.889,1778
20,0.3,5,0.7,0.9255,1851
20,0.3,6,0.7,0.772,1544
20,0.3,7,0.7,0.6625,1325
20,0.3,8,0.7,0.5055,1011
20,0.3,9,0.7,0.9925,1985
20,0.3,10,0.7,0.999,1998
20,0.3,1,0.8,0.8855,1771
20,0.3,2,0.8,0.987,1974
20,0.3,3,0.8,0.794,1588
20,0.3,4,0.8,0.9535,1907
20,0.3,5,0.8,0.9445,1889
20,0.3,6,0.8,0.9535,1907
20,0.3,7,0.8,0.3565,713
20,0.3,8,0.8,0.9965,1993
20,0.3,9,0.8,0.788,1576
20,0.3,10,0.8,0.5235,1047
20,0.2,1,0.6,0.9765,1953
20,0.2,2,0.6,0.9725,1945
20,0.2,3,0.6,0.524,1048
20,0.2,4,0.6,0.6685,1337
20,0.2,5,0.6,0.0585,117
20,0.2,6,0.6,0.992,1984
20,0.2,7,0.6,0.6625,1325
20,0.2,8,0.6,0.9935,1987
20,0.2,9,0.6,0.9285,1857
20,0.2,10,0.6,0.4875,975
20,0.2,1,0.7,0.983,1966
20,0.2,2,0.7,0.8045,1609
20,0.2,3,0.7,0.1345,269
20,0.2,4,0.7,0.5045,1009
20,0.2,5,0.7,0.8665,1733
20,0.2,6,0.7,0.515,1030
20,0.2,7,0.7,0.877,1754
20,0.2,8,0.7,0.058,116
20,0.2,9,0.7,0.484,968
20,0.2,10,0.7,0.9515,1903
20,0.2,1,0.8,0.3415,683
20,0.2,2,0.8,0.778,1556
20,0.2,3,0.8,0.866,1732
20,0.2,4,0.8,0.805,1610
