"","n","changeprob_mean","n_suburban","repetition","survival_control","proportion_estimates_below_zero_condition","count_estimates_below_zero_condition","proportion_estimates_below_zero_habitatnatural","proportion_estimates_below_zero_habitatsuburban"
"333",20,0,2,3,0.5,0.86,1720,"0.6825","0.672"
"334",20,0,6,4,0.5,0.6065,1213,"0.793","0.3875"
"335",20,0,5,5,0.5,0.834,1668,"0.7325","0.5715"
"336",20,0,5,6,0.5,0.955,1910,"0.828","0.7035"
"337",20,0,7,7,0.5,0.789,1578,"0.65","0.6185"
"338",20,0,7,8,0.5,0.0655,131,"0.1","0.4355"
"339",20,0,5,9,0.5,0.8395,1679,"0.732","0.5375"
"340",20,0,6,10,0.5,0.775,1550,"0.5115","0.78"
"341",20,0,6,1,0.6,0.0475,95,"0.3835","0.149"
"342",20,0,5,2,0.6,0.847,1694,"0.591","0.6085"
"343",20,0,6,3,0.6,0.376,752,"0.239","0.6245"
"344",20,0,4,4,0.6,0.6325,1265,"0.5985","0.547"
"345",20,0,6,5,0.6,0.387,774,"0.2145","0.7275"
"346",20,0,4,6,0.6,0.893,1786,"0.7685","0.648"
"347",20,0,2,7,0.6,0.7435,1487,"0.6645","0.4995"
"348",20,0,3,8,0.6,0.4585,917,"0.47","0.4645"
"349",20,0,3,9,0.6,0.8625,1725,"0.5645","0.6715"
"350",20,0,6,10,0.6,0.4925,985,"0.478","0.5015"
"351",20,0,8,1,0.7,0.3465,693,"0.5455","0.5295"
"352",20,0,6,2,0.7,0.377,754,"0.4075","0.5"
"353",20,0,7,3,0.7,0.5155,1031,"0.531","0.3895"
"354",20,0,2,4,0.7,0.646,1292,"0.6045","0.4975"
"355",20,0,3,5,0.7,0.138,276,"0.395","0.318"
"356",20,0,6,6,0.7,0.1935,387,"0.2935","0.4975"
"357",20,0,3,7,0.7,0.252,504,"0.4555","0.249"
"358",20,0,3,8,0.7,0.151,302,"0.2555","0.4685"
"359",20,0,6,9,0.7,0.475,950,"0.1775","0.7605"
"360",20,0,6,10,0.7,0.3475,695,"0.504","0.36"
"361",30,0.3,4,1,0.5,0.604,1208,"0.4925","0.6545"
"362",30,0.3,5,2,0.5,0.13,260,"0.2875","0.3215"
"363",30,0.3,8,3,0.5,0.1865,373,"0.3225","0.3685"
"364",30,0.3,3,4,0.5,0.114,228,"0.23","0.4025"
"365",30,0.3,6,5,0.5,0.323,646,"0.447","0.338"
"366",30,0.3,9,6,0.5,0.053,106,"0.1235","0.2965"
"367",30,0.3,11,7,0.5,0.012,24,"0.0935","0.2405"
"368",30,0.3,5,8,0.5,0.172,344,"0.0845","0.875"
"369",30,0.3,8,9,0.5,0.0735,147,"0.104","0.521"
"370",30,0.3,4,10,0.5,0.27,540,"0.3305","0.457"
"371",30,0.3,9,1,0.6,0.022,44,"0.266","0.0305"
"372",30,0.3,5,2,0.6,0.152,304,"0.078","0.686"
"373",30,0.3,5,3,0.6,0.202,404,"0.2915","0.3265"
"374",30,0.3,4,4,0.6,0.175,350,"0.176","0.49"
"375",30,0.3,10,5,0.6,0.095,190,"0.092","0.432"
"376",30,0.3,9,6,0.6,0.0055,11,"0.063","0.125"
"377",30,0.3,8,7,0.6,0.03,60,"0.04","0.5365"
"378",30,0.3,7,8,0.6,0.0615,123,"0.2485","0.29"
"379",30,0.3,10,9,0.6,0.004,8,"0.012","0.146"
"380",30,0.3,8,10,0.6,0.055,110,"0.136","0.26"
"381",30,0.3,11,1,0.7,0.0225,45,"0.2725","0.0425"
"382",30,0.3,7,2,0.7,0.1025,205,"0.199","0.354"
"383",30,0.3,9,3,0.7,0.042,84,"0.0695","0.4105"
"384",30,0.3,8,4,0.7,0.207,414,"0.131","0.4805"
"385",30,0.3,10,5,0.7,0.048,96,"0.1965","0.132"
"386",30,0.3,6,6,0.7,0.152,304,"0.1335","0.416"
"387",30,0.3,6,7,0.7,0.051,102,"0.1065","0.2655"
"388",30,0.3,5,8,0.7,0.1545,309,"0.158","0.427"
"389",30,0.3,8,9,0.7,0.292,584,"0.3065","0.377"
"390",30,0.3,8,10,0.7,0.027,54,"0.066","0.398"
"391",30,0.2,7,1,0.5,0.1045,209,"0.3455","0.1825"
"392",30,0.2,9,2,0.5,0.006,12,"0.096","0.13"
"393",30,0.2,5,3,0.5,0.1945,389,"0.2975","0.4525"
"394",30,0.2,7,4,0.5,0.386,772,"0.4615","0.551"
"395",30,0.2,11,5,0.5,0.1485,297,"0.304","0.3765"
"396",30,0.2,8,6,0.5,0.009,18,"0.0315","0.3235"
"397",30,0.2,11,7,0.5,0.0595,119,"0.2715","0.1995"
