"","n","changeprob_mean","n_suburban","repetition","survival_control","proportion_estimates_below_zero_condition","count_estimates_below_zero_condition","proportion_estimates_below_zero_habitatnatural","proportion_estimates_below_zero_habitatsuburban"
"801",60,0.1,16,1,0.7,0.6915,1383,"0.5115","0.55"
"802",60,0.1,13,2,0.7,0.529,1058,"0.524","0.5915"
"803",60,0.1,13,3,0.7,0.7605,1521,"0.611","0.6775"
"804",60,0.1,13,4,0.7,0.348,696,"0.456","0.4765"
"805",60,0.1,20,5,0.7,0.3225,645,"0.5595","0.438"
"806",60,0.1,19,6,0.7,0.858,1716,"0.5305","0.7245"
"807",60,0.1,10,7,0.7,0.19,380,"0.1775","0.6155"
"808",60,0.1,19,8,0.7,0.7815,1563,"0.842","0.4525"
"809",60,0.1,18,9,0.7,0.6075,1215,"0.6145","0.404"
"810",60,0.1,13,10,0.7,0.026,52,"0.136","0.261"
"811",60,0.05,18,1,0.5,0.07,140,"0.3085","0.146"
"812",60,0.05,13,2,0.5,0.174,348,"0.3325","0.404"
"813",60,0.05,14,3,0.5,0.192,384,"0.3985","0.348"
"814",60,0.05,12,4,0.5,0.0795,159,"0.1795","0.271"
"815",60,0.05,20,5,0.5,0.1765,353,"0.433","0.2245"
"816",60,0.05,21,6,0.5,0.561,1122,"0.643","0.4075"
"817",60,0.05,16,7,0.5,0.487,974,"0.484","0.5485"
"818",60,0.05,15,8,0.5,0.074,148,"0.2275","0.5515"
"819",60,0.05,18,9,0.5,0.6715,1343,"0.741","0.279"
"820",60,0.05,21,10,0.5,0.173,346,"0.331","0.338"
"821",60,0.05,12,1,0.6,0.2095,419,"0.3915","0.3565"
"822",60,0.05,13,2,0.6,0.491,982,"0.542","0.357"
"823",60,0.05,19,3,0.6,0.0665,133,"0.121","0.4865"
"824",60,0.05,15,4,0.6,0.4525,905,"0.483","0.504"
"825",60,0.05,12,5,0.6,0.7295,1459,"0.6145","0.606"
"826",60,0.05,13,6,0.6,0.6235,1247,"0.7765","0.09"
"827",60,0.05,13,7,0.6,0.104,208,"0.2395","0.4335"
"828",60,0.05,14,8,0.6,0.177,354,"0.273","0.4385"
"829",60,0.05,15,9,0.6,0.5085,1017,"0.521","0.5165"
"830",60,0.05,18,10,0.6,0.1665,333,"0.1425","0.572"
"831",60,0.05,16,1,0.7,0.3155,631,"0.47","0.462"
"832",60,0.05,19,2,0.7,0.047,94,"0.2775","0.0895"
"833",60,0.05,19,3,0.7,0.7285,1457,"0.3655","0.878"
"834",60,0.05,17,4,0.7,0.09,180,"0.18","0.56"
"835",60,0.05,17,5,0.7,0.6395,1279,"0.2495","0.6745"
"836",60,0.05,12,6,0.7,0.3275,655,"0.418","0.5505"
"837",60,0.05,17,7,0.7,0.692,1384,"0.499","0.5625"
"838",60,0.05,14,8,0.7,0.3385,677,"0.563","0.1845"
"839",60,0.05,15,9,0.7,0.0095,19,"0.1315","0.237"
"840",60,0.05,14,10,0.7,0.438,876,"0.5195","0.568"
"841",60,0.025,18,1,0.5,0.5175,1035,"0.5345","0.2995"
"842",60,0.025,16,2,0.5,0.383,766,"0.306","0.5455"
"843",60,0.025,11,3,0.5,0.893,1786,"0.717","0.4595"
"844",60,0.025,13,4,0.5,0.375,750,"0.5285","0.369"
"845",60,0.025,13,5,0.5,0.705,1410,"0.5635","0.69"
"846",60,0.025,14,6,0.5,0.7825,1565,"0.661","0.5685"
"847",60,0.025,17,7,0.5,0.468,936,"0.2975","0.694"
"848",60,0.025,13,8,0.5,0.338,676,"0.4525","0.3715"
"849",60,0.025,14,9,0.5,0.36,720,"0.483","0.4005"
"850",60,0.025,19,10,0.5,0.056,112,"0.1665","0.366"
"851",60,0.025,17,1,0.6,0.8435,1687,"0.41","0.8805"
"852",60,0.025,16,2,0.6,0.145,290,"0.336","0.3115"
"853",60,0.025,15,3,0.6,0.6285,1257,"0.6105","0.4555"
"854",60,0.025,9,4,0.6,0.131,262,"0.103","0.827"
"855",60,0.025,10,5,0.6,0.9145,1829,"0.822","0.498"
"856",60,0.025,15,6,0.6,0.723,1446,"0.783","0.4785"
"857",60,0.025,16,7,0.6,0.317,634,"0.241","0.669"
"858",60,0.025,9,8,0.6,0.4715,943,"0.6335","0.3525"
"859",60,0.025,13,9,0.6,0.545,1090,"0.613","0.4805"
"860",60,0.025,12,10,0.6,0.586,1172,"0.609","0.3975"
"861",60,0.025,16,1,0.7,0.7855,1571,"0.8255","0.431"
"862",60,0.025,9,2,0.7,0.218,436,"0.3825","0.565"
"863",60,0.025,15,3,0.7,0.672,1344,"0.478","0.71"
"864",60,0.025,14,4,0.7,0.732,1464,"0.591","0.726"
"865",60,0.025,15,5,0.7,0.7175,1435,"0.6305","0.48"
"866",60,0.025,12,6,0.7,0.4285,857,"0.4765","0.571"
"867",60,0.025,18,7,0.7,0.018,36,"0.078","0.312"
"868",60,0.025,17,8,0.7,0.0225,45,"0.271","0.013"
"869",60,0.025,8,9,0.7,0.206,412,"0.1725","0.7675"
"870",60,0.025,12,10,0.7,0.532,1064,"0.4","0.72"
"871",60,0,17,1,0.5,0.71,1420,"0.579","0.632"
"872",60,0,17,2,0.5,0.615,1230,"0.6265","0.4575"
"873",60,0,14,3,0.5,0.724,1448,"0.667","0.547"
"874",60,0,15,4,0.5,0.8085,1617,"0.5225","0.8525"
"875",60,0,14,5,0.5,0.2575,515,"0.3155","0.489"
"876",60,0,15,6,0.5,0.406,812,"0.548","0.4525"
"877",60,0,19,7,0.5,0.669,1338,"0.413","0.6405"
"878",60,0,12,8,0.5,0.5355,1071,"0.6835","0.2145"
"879",60,0,8,9,0.5,0.692,1384,"0.4665","0.8635"
"880",60,0,17,10,0.5,0.3235,647,"0.393","0.4405"
"881",60,0,18,1,0.6,0.786,1572,"0.476","0.7645"
"882",60,0,10,2,0.6,0.1155,231,"0.125","0.563"
"883",60,0,25,3,0.6,0.8265,1653,"0.5535","0.776"
"884",60,0,15,4,0.6,0.856,1712,"0.677","0.768"
"885",60,0,13,5,0.6,0.625,1250,"0.5745","0.4865"
"886",60,0,15,6,0.6,0.152,304,"0.338","0.2385"
"887",60,0,11,7,0.6,0.7625,1525,"0.854","0.241"
"888",60,0,15,8,0.6,0.883,1766,"0.649","0.6945"
"889",60,0,20,9,0.6,0.601,1202,"0.563","0.4815"
"890",60,0,18,10,0.6,0.0555,111,"0.3325","0.2645"
"891",60,0,15,1,0.7,0.099,198,"0.143","0.358"
"892",60,0,19,2,0.7,0.215,430,"0.3055","0.4505"
"893",60,0,9,3,0.7,0.594,1188,"0.437","0.705"
"894",60,0,20,4,0.7,0.819,1638,"0.69","0.654"
"895",60,0,15,5,0.7,0.0735,147,"0.229","0.4125"
"896",60,0,13,6,0.7,0.372,744,"0.3015","0.547"
"897",60,0,20,7,0.7,0.5715,1143,"0.703","0.3895"
"898",60,0,15,8,0.7,0.0825,165,"0.17","0.4995"
"899",60,0,17,9,0.7,0.316,632,"0.4155","0.454"
"900",60,0,11,10,0.7,0.412,824,"0.2915","0.59"
