n,changenumber_mean,repetition,changeprop_sd,number_before,proportion_estimates_below_zero,count_estimates_below_zero
30,0.25,6,0.1,0.7,0,0
30,0.25,7,0.1,0.7,0,0
30,0.25,8,0.1,0.7,0,0
30,0.25,9,0.1,0.7,0,0
30,0.25,10,0.1,0.7,0,0
30,0.2,1,0.1,0.3,0,0
30,0.2,2,0.1,0.3,0,0
30,0.2,3,0.1,0.3,0,0
30,0.2,4,0.1,0.3,0,0
30,0.2,5,0.1,0.3,0.013,26
30,0.2,6,0.1,0.3,0,0
30,0.2,7,0.1,0.3,0,0
30,0.2,8,0.1,0.3,5E-04,1
30,0.2,9,0.1,0.3,0,0
30,0.2,10,0.1,0.3,0,0
30,0.2,1,0.1,0.5,0,0
30,0.2,2,0.1,0.5,5E-04,1
30,0.2,3,0.1,0.5,0,0
30,0.2,4,0.1,0.5,0,0
30,0.2,5,0.1,0.5,0,0
30,0.2,6,0.1,0.5,0.001,2
30,0.2,7,0.1,0.5,5E-04,1
30,0.2,8,0.1,0.5,0,0
30,0.2,9,0.1,0.5,0,0
30,0.2,10,0.1,0.5,0,0
30,0.2,1,0.1,0.7,0,0
30,0.2,2,0.1,0.7,0,0
30,0.2,3,0.1,0.7,0,0
30,0.2,4,0.1,0.7,0,0
30,0.2,5,0.1,0.7,5E-04,1
30,0.2,6,0.1,0.7,5E-04,1
30,0.2,7,0.1,0.7,0,0
30,0.2,8,0.1,0.7,0,0
30,0.2,9,0.1,0.7,0,0
30,0.2,10,0.1,0.7,0,0
30,0.15,1,0.1,0.3,0.007,14
30,0.15,2,0.1,0.3,0,0
30,0.15,3,0.1,0.3,0.002,4
30,0.15,4,0.1,0.3,0.0015,3
30,0.15,5,0.1,0.3,0.004,8
30,0.15,6,0.1,0.3,0,0
30,0.15,7,0.1,0.3,0.003,6
30,0.15,8,0.1,0.3,0.001,2
30,0.15,9,0.1,0.3,0.001,2
30,0.15,10,0.1,0.3,0.001,2
30,0.15,1,0.1,0.5,5E-04,1
30,0.15,2,0.1,0.5,0,0
30,0.15,3,0.1,0.5,0,0
30,0.15,4,0.1,0.5,0,0
30,0.15,5,0.1,0.5,0,0
30,0.15,6,0.1,0.5,0.0315,63
30,0.15,7,0.1,0.5,0.004,8
30,0.15,8,0.1,0.5,0.0385,77
30,0.15,9,0.1,0.5,0,0
30,0.15,10,0.1,0.5,0.0055,11
